candidate_id,rank,score,reasoning
CAND_0071974,1,0.9700,"Senior AI Engineer with 7.8 years at Netflix (10001+); strong Qdrant, Weaviate, Information Retrieval, Pinecone experience plus Sentence Transformers, PEFT; building retrieval systems at product companies; M.Sc from NIT Warangal; located in Vizag, Andhra Pradesh, India; moderate response rate (0.76), open to work, active GitHub (score 82.80). Minor concern on notice period (45 days)."
CAND_0010257,2,0.9260,"Senior Data Scientist with 6.5 years at Google (10001+); strong Qdrant, Milvus, Python experience plus TensorFlow; building retrieval systems at product companies; Noida, Uttar Pradesh-based; moderate response rate (0.72), open to work, active GitHub (score 45.50), strong interview completion (0.92). Minor concern on extended notice period (120 days)."
CAND_0079387,3,0.9152,"AI Engineer with 6.9 years at Microsoft (10001+); strong Learning to Rank, Python experience plus QLoRA, Sentence Transformers; building retrieval systems at product companies; M.Sc from IIIT Hyderabad; located in Trivandrum, Kerala, India; 81% recruiter response rate, open to work, active GitHub (score 64.10), strong interview completion (0.90)."
CAND_0018499,4,0.9128,"Senior Machine Learning Engineer with 7.2 years at Zomato (5001-10000); strong Learning to Rank, Embeddings, Weaviate, Milvus experience plus QLoRA; building retrieval systems at product companies; B.Sc from Massachusetts Institute of Technology; Noida, Uttar Pradesh-based; moderate response rate (0.61), open to work, active GitHub (score 94.80)."
CAND_0050876,5,0.8941,"Applied ML Engineer with 6.0 years at Freshworks (5001-10000); strong Python, Qdrant, FAISS experience plus Sentence Transformers, QLoRA; building retrieval systems at product companies; M.S. from Stanford University; located in Kolkata, West Bengal, India; moderate response rate (0.67), open to work, active GitHub (score 86.10), strong interview completion (0.97). Minor concern on extended notice period (90 days)."
CAND_0081846,6,0.8718,"Lead AI Engineer with 6.7 years at Razorpay (1001-5000); strong Learning to Rank, Embeddings, Qdrant, Elasticsearch experience plus PyTorch; building retrieval systems at product companies; B.E. from IIT Hyderabad; located in Jaipur, Rajasthan, India (willing to relocate); moderate response rate (0.73), open to work, active GitHub (score 33.70), strong interview completion (0.94)."
CAND_0028793,7,0.8483,"Search Engineer with 7.2 years at Google (10001+); strong Learning to Rank, Embeddings, Information Retrieval experience plus LoRA, QLoRA; building retrieval systems at product companies; B.E. from BITS Pilani; located in Trivandrum, Kerala, India (willing to relocate); moderate response rate (0.57), open to work, active GitHub (score 83.10). Minor concern on extended notice period (120 days)."
CAND_0086022,8,0.8398,"Senior Applied Scientist with 5.3 years at Sarvam AI (51-200); strong Pinecone, Embeddings, Elasticsearch experience plus QLoRA, PyTorch; building retrieval systems at product companies; B.Tech from Stanford University; located in Kolkata, West Bengal, India (willing to relocate); moderate response rate (0.55), open to work, active GitHub (score 75.20)."
CAND_0005538,9,0.8314,"Senior AI Engineer with 5.9 years at Adobe (10001+); strong Information Retrieval Systems, Python experience plus QLoRA, PyTorch; building retrieval systems at product companies; located in Kolkata, West Bengal, India; 81% recruiter response rate, open to work, active GitHub (score 58.00). Minor concern on extended notice period (90 days)."
CAND_0083879,10,0.8272,"Machine Learning Engineer with 7.1 years at Ola (5001-10000); strong Milvus experience plus Hugging Face Transformers, Sentence Transformers; building retrieval systems at product companies; B.Sc from NIT Surathkal; Noida, Uttar Pradesh-based; open to work."
CAND_0002025,11,0.8266,"Senior AI Engineer with 5.9 years at Apple (10001+); strong Weaviate, Pinecone, Python, FAISS experience plus QLoRA, TensorFlow; building retrieval systems at product companies; M.Sc from IIIT Bangalore; located in Trivandrum, Kerala, India; 80% recruiter response rate, open to work, active GitHub (score 96.90)."
CAND_0077337,12,0.8212,"Staff Machine Learning Engineer with 7.0 years at Paytm (10001+); strong Qdrant, Information Retrieval, Pinecone, Python experience plus QLoRA, LLMs; building retrieval systems at product companies; B.Tech from Georgia Tech; located in Kochi, Kerala, India (willing to relocate); 95% recruiter response rate, open to work, active GitHub (score 68.00). Minor concern on notice period (60 days)."
CAND_0078002,13,0.8169,"Machine Learning Engineer with 6.3 years at Meta (10001+); strong Weaviate experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; M.E. from NIT Trichy; located in Coimbatore, Tamil Nadu, India; 86% recruiter response rate, open to work, active GitHub (score 50.60). Minor concern on notice period (60 days)."
CAND_0064326,14,0.8037,"Search Engineer with 7.6 years at Sarvam AI (51-200); strong Python, Weaviate, Milvus experience plus QLoRA, PyTorch; building retrieval systems at product companies; based in Gurgaon, Haryana; 94% recruiter response rate, open to work, active GitHub (score 61.40), strong interview completion (0.90). Minor concern on notice period (45 days)."
CAND_0005509,15,0.7995,"Data Scientist with 6.0 years at Ola (5001-10000); strong Qdrant, Python experience plus Fine-tuning LLMs; building retrieval systems at product companies; Noida, Uttar Pradesh-based; open to work, active GitHub (score 74.20)."
CAND_0098846,16,0.7844,"AI Engineer with 7.6 years at upGrad (1001-5000); strong Qdrant experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; Ph.D from IIT Kanpur; located in Indore, Madhya Pradesh, India (willing to relocate); moderate response rate (0.62), open to work, active GitHub (score 86.20). Minor concern on notice period (45 days)."
CAND_0015528,17,0.7832,"Applied ML Engineer with 7.4 years at Krutrim (201-500); strong Weaviate, FAISS, Information Retrieval experience plus Docker, LoRA; building retrieval systems at product companies; Ph.D from IIIT Bangalore; located in Coimbatore, Tamil Nadu, India; moderate response rate (0.53), active GitHub (score 50.60)."
CAND_0011432,18,0.7754,"Senior Data Scientist with 7.6 years at Amazon (10001+); strong Elasticsearch experience plus QLoRA, PEFT; building retrieval systems at product companies; based in Chennai, Tamil Nadu; moderate response rate (0.67), open to work, active GitHub (score 20.00). Minor concern on notice period (60 days)."
CAND_0091909,19,0.7615,"Machine Learning Engineer with 6.9 years at Rephrase.ai (11-50); strong Learning to Rank, Qdrant, Pinecone experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; M.E. from IIIT Bangalore; currently in Bangalore, Karnataka with willingness to relocate; moderate response rate (0.65), open to work, active GitHub (score 49.70). Minor concern on notice period (45 days)."
CAND_0030031,20,0.7585,"AI Engineer with 5.7 years at Microsoft (10001+); strong Milvus, Information Retrieval, Python experience plus Sentence Transformers, LoRA; building retrieval systems at product companies; B.Sc from IIT Bombay; located in Trivandrum, Kerala, India; 94% recruiter response rate, active GitHub (score 32.40)."
CAND_0047721,21,0.7501,"Senior Data Scientist with 7.0 years at Microsoft (10001+); strong Learning to Rank, Qdrant, Milvus, FAISS experience plus NLP; building retrieval systems at product companies; B.Sc from IIT Kharagpur; located in Coimbatore, Tamil Nadu, India (willing to relocate); active GitHub (score 90.10). Minor concern on extended notice period (90 days)."
CAND_0075249,22,0.7440,"Applied ML Engineer with 6.2 years at Zomato (5001-10000); strong Learning to Rank, Milvus, Pinecone experience plus Sentence Transformers, Fine-tuning LLMs; building retrieval systems at product companies; M.Tech from IIT Hyderabad; located in Ahmedabad, Gujarat, India; 82% recruiter response rate, open to work, active GitHub (score 36.80). Minor concern on notice period (45 days)."
CAND_0024147,23,0.7398,"ML Engineer with 5.9 years at Ola (5001-10000); strong Learning to Rank, Qdrant experience plus QLoRA; building retrieval systems at product companies; located in Jaipur, Rajasthan, India; 84% recruiter response rate, open to work, active GitHub (score 69.50). Minor concern on notice period (60 days)."
CAND_0005649,24,0.7338,"Senior Data Scientist with 7.4 years at Sarvam AI (51-200); strong Weaviate, Information Retrieval experience plus QLoRA, Fine-tuning LLMs; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate; moderate response rate (0.57), open to work, active GitHub (score 80.70). Minor concern on extended notice period (90 days)."
CAND_0011327,25,0.7338,"AI Research Engineer with 6.3 years at Krutrim (201-500); relevant Sentence Transformers background; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.79), open to work. Minor concern on notice period (60 days)."
CAND_0016163,26,0.7326,"Applied ML Engineer with 6.7 years at Dream11 (1001-5000); strong Embeddings, Weaviate, Pinecone experience plus Hugging Face Transformers, LoRA; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.72), open to work, active GitHub (score 95.00). Minor concern on extended notice period (120 days)."
CAND_0008425,27,0.7302,"Senior NLP Engineer with 7.8 years at Ola (5001-10000); strong Learning to Rank, Qdrant, Information Retrieval, Python experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; M.S. from BITS Pilani; located in Kolkata, West Bengal, India; moderate response rate (0.66), open to work, active GitHub (score 53.30). Minor concern on extended notice period (90 days)."
CAND_0097176,28,0.7296,"ML Engineer with 5.9 years at TCS (10001+); strong FAISS experience plus PyTorch; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.76), open to work, active GitHub (score 45.40)."
CAND_0006567,29,0.7284,"Senior AI Engineer with 7.9 years at Meta (10001+); strong Ranking Systems, Python experience plus Kubernetes, NLP; building retrieval systems at product companies; B.Sc from IIT Bombay; Noida, Uttar Pradesh-based; moderate response rate (0.79), open to work, active GitHub (score 35.20), strong interview completion (0.93). Minor concern on notice period (60 days)."
CAND_0039383,30,0.7266,"Applied ML Engineer with 7.1 years at Meesho (1001-5000); strong Elasticsearch, FAISS experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; B.Sc from IISc Bangalore; currently in Gurgaon, Haryana with willingness to relocate; moderate response rate (0.61), open to work, active GitHub (score 86.40), strong interview completion (0.97). Minor concern on extended notice period (90 days)."
CAND_0042029,31,0.7211,"Senior Data Scientist with 6.5 years at Flipkart (10001+); strong Learning to Rank, Embeddings, Elasticsearch, Weaviate experience plus Hugging Face Transformers, NLP; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate. Gaps noted: notice period (45 days)."
CAND_0068811,32,0.7205,"Applied ML Engineer with 8.0 years at Freshworks (5001-10000); strong Qdrant, Weaviate, Pinecone, Embeddings experience plus TensorFlow, PEFT; building retrieval systems at product companies; Pune, Maharashtra-based."
CAND_0080766,33,0.7199,"Staff Machine Learning Engineer with 8.8 years at Salesforce (10001+); strong Information Retrieval Systems, Milvus, Elasticsearch, Python experience plus QLoRA, TensorFlow; building retrieval systems at product companies; located in Coimbatore, Tamil Nadu, India (willing to relocate)."
CAND_0004402,34,0.7187,"AI Research Engineer with 6.0 years at Yellow.ai (201-500); strong Learning to Rank, Qdrant experience plus Sentence Transformers, PyTorch; building retrieval systems at product companies; based in Delhi, Delhi. Gaps noted: notice period (60 days)."
CAND_0081053,35,0.7151,"NLP Engineer with 5.4 years at Glance (501-1000); strong Learning to Rank, Qdrant, Weaviate experience plus LoRA, QLoRA; building retrieval systems at product companies; located in Chandigarh, Chandigarh, India (willing to relocate). Gaps noted: extended notice period (90 days)."
CAND_0052682,36,0.6988,"NLP Engineer with 6.6 years at Aganitha (51-200); strong Embeddings, FAISS, Python experience plus QLoRA, Fine-tuning LLMs; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India."
CAND_0027691,37,0.6976,"NLP Engineer with 6.5 years at Haptik (201-500); strong Learning to Rank, Embeddings, Weaviate, Python experience plus LoRA, QLoRA; building retrieval systems at product companies; Pune, Maharashtra-based."
CAND_0044855,38,0.6934,"Senior Data Scientist with 6.6 years at Flipkart (10001+); strong Learning to Rank, Qdrant, Embeddings, Pinecone experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; located in Coimbatore, Tamil Nadu, India (willing to relocate). Gaps noted: notice period (60 days)."
CAND_0009691,39,0.6910,"Applied ML Engineer with 6.2 years at LinkedIn (10001+); strong Qdrant, Pinecone, FAISS experience plus QLoRA, Sentence Transformers; building retrieval systems at product companies; located in Indore, Madhya Pradesh, India (willing to relocate). Gaps noted: extended notice period (120 days)."
CAND_0010149,40,0.6904,"ML Engineer with 6.9 years at Glance (501-1000); strong Learning to Rank, Elasticsearch, Milvus experience plus QLoRA, PEFT; building retrieval systems at product companies; currently in Bangalore, Karnataka with willingness to relocate. Gaps noted: extended notice period (90 days)."
CAND_0076482,41,0.6766,"ML Engineer with 6.6 years at Flipkart (10001+); strong Embeddings, Pinecone experience plus Hugging Face Transformers, QLoRA; across 2 product-company roles; located in Austin, USA (willing to relocate). Gaps noted: notice period (60 days)."
CAND_0066376,42,0.6711,"Applied ML Engineer with 5.7 years at Dream11 (1001-5000); strong Learning to Rank, FAISS, Information Retrieval experience plus LoRA, Fine-tuning LLMs; building retrieval systems at product companies; based in Mumbai, Maharashtra. Gaps noted: extended notice period (90 days)."
CAND_0068932,43,0.6615,"ML Engineer with 5.2 years at Krutrim (201-500); strong Milvus experience; building retrieval systems at product companies; Noida, Uttar Pradesh-based."
CAND_0011687,44,0.6531,"Senior NLP Engineer with 7.8 years at Niramai (51-200); strong Embeddings, Weaviate, FAISS experience plus PEFT, PyTorch; building retrieval systems at product companies; located in Indore, Madhya Pradesh, India."
CAND_0042100,45,0.6531,"Machine Learning Engineer with 7.3 years at Freshworks (5001-10000); strong Learning to Rank, Elasticsearch, Pinecone experience plus QLoRA, Fine-tuning LLMs; building retrieval systems at product companies; located in Singapore, Singapore (willing to relocate). Gaps noted: extended notice period (90 days)."
CAND_0033179,46,0.6524,"AI Research Engineer with 6.9 years at Wipro (10001+); strong Information Retrieval experience plus Hugging Face Transformers, Docker; building retrieval systems at product companies; located in Ahmedabad, Gujarat, India (willing to relocate)."
CAND_0057563,47,0.6512,"NLP Engineer with 6.8 years at Locobuzz (51-200); strong Elasticsearch experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; located in Indore, Madhya Pradesh, India (willing to relocate). Gaps noted: notice period (60 days)."
CAND_0058575,48,0.6500,"AI Engineer with 5.8 years at Krutrim (201-500); strong Pinecone experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; currently in Chennai, Tamil Nadu with willingness to relocate. Gaps noted: extended notice period (90 days)."
CAND_0015493,49,0.6440,"Data Scientist with 6.4 years at CRED (1001-5000); relevant LoRA, NLP background; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India."
CAND_0033911,50,0.6362,"Data Scientist with 6.9 years at Mad Street Den (201-500); strong Learning to Rank, FAISS experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; based in Delhi, Delhi. Gaps noted: extended notice period (120 days)."
CAND_0099401,51,0.6356,"NLP Engineer with 7.7 years at Dream11 (1001-5000); strong Embeddings, Qdrant, Information Retrieval, Python experience; building retrieval systems at product companies; located in Ahmedabad, Gujarat, India (willing to relocate). Gaps noted: extended notice period (90 days)."
CAND_0067643,52,0.6350,"AI Research Engineer with 6.0 years at PhonePe (5001-10000); strong Learning to Rank, Qdrant, Elasticsearch experience plus LoRA, Fine-tuning LLMs; building retrieval systems at product companies; currently in Chennai, Tamil Nadu with willingness to relocate. Gaps noted: notice period (60 days)."
CAND_0065195,53,0.6332,"Search Engineer with 5.1 years at CRED (1001-5000); strong Learning to Rank, Qdrant, Elasticsearch experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; located in Kolkata, West Bengal, India. Gaps noted: notice period (45 days)."
CAND_0092706,54,0.6223,"AI Research Engineer with 5.8 years at Unacademy (5001-10000); relevant Sentence Transformers, Hugging Face Transformers background; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate. Gaps noted: extended notice period (120 days)."
CAND_0006418,55,0.6091,"Machine Learning Engineer with 5.7 years at Verloop.io (51-200); strong Learning to Rank, Embeddings, Qdrant, Elasticsearch experience plus Kubernetes, TensorFlow; building retrieval systems at product companies; currently in Gurgaon, Haryana with willingness to relocate. Gaps noted: notice period (60 days)."
CAND_0031593,56,0.6048,"Search Engineer with 7.8 years at Genpact AI (10001+); strong Embeddings, Elasticsearch experience plus Hugging Face Transformers; building retrieval systems at product companies; located in Kolkata, West Bengal, India (willing to relocate). Gaps noted: extended notice period (90 days)."
CAND_0009024,57,0.6042,"Search Engineer with 5.2 years at Google (10001+); strong Qdrant, FAISS experience plus LoRA, PyTorch; building retrieval systems at product companies; based in Chennai, Tamil Nadu."
CAND_0054123,58,0.5940,"Applied ML Engineer with 4.7 years at Meta (10001+); strong Qdrant, Weaviate, Python experience plus Hugging Face Transformers, Fine-tuning LLMs; building retrieval systems at product companies; based in Gurgaon, Haryana. Gaps noted: notice period (60 days), experience below ideal range (4.7 years)."
CAND_0074123,59,0.5922,"Data Scientist with 6.9 years at CRED (1001-5000); relevant Hugging Face Transformers, NLP background; building retrieval systems at product companies; located in Bhubaneswar, Odisha, India (willing to relocate)."
CAND_0067183,60,0.5898,"ML Engineer with 6.1 years at Sarvam AI (51-200); strong Information Retrieval experience plus NLP, TensorFlow; across 3 product-company roles; located in Vizag, Andhra Pradesh, India. Gaps noted: notice period (60 days)."
CAND_0074342,61,0.5898,"Data Scientist with 5.7 years at Zoho (10001+); relevant Sentence Transformers, QLoRA background; across 2 product-company roles; located in Sydney, Australia (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0043228,62,0.5868,"Applied ML Engineer with 6.8 years at Zoho (10001+); strong Learning to Rank, Weaviate experience plus Hugging Face Transformers, Sentence Transformers; building retrieval systems at product companies; based in Chennai, Tamil Nadu. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0074735,63,0.5813,"Applied ML Engineer with 5.5 years at Rephrase.ai (11-50); strong Weaviate, Information Retrieval, Learning to Rank, Elasticsearch experience plus TensorFlow; building retrieval systems at product companies; located in Chandigarh, Chandigarh, India. Key limitation: extended notice period (90 days)."
CAND_0033987,64,0.5741,"ML Engineer with 6.8 years at Wysa (51-200); strong Learning to Rank, FAISS experience plus Fine-tuning LLMs, PEFT; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate. Key limitation: extended notice period (90 days)."
CAND_0060054,65,0.5741,"AI Engineer with 6.4 years at Mad Street Den (201-500); strong Elasticsearch, Weaviate, FAISS experience plus TensorFlow; building retrieval systems at product companies; located in Jaipur, Rajasthan, India (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0039962,66,0.5729,"ML Engineer with 6.5 years at Paytm (10001+); strong Pinecone experience plus QLoRA, PEFT; across 3 product-company roles; located in Kochi, Kerala, India. Key limitation: extended notice period (90 days)."
CAND_0035879,67,0.5681,"AI Research Engineer with 4.5 years at Krutrim (201-500); strong Elasticsearch, Pinecone, Python experience; building retrieval systems at product companies; Noida, Uttar Pradesh-based. Limitations: extended notice period (120 days), experience below ideal range (4.5 years)."
CAND_0062561,68,0.5675,"ML Engineer with 5.9 years at Razorpay (1001-5000); strong Learning to Rank, Weaviate, Information Retrieval experience plus PyTorch; across 3 product-company roles; located in Bhubaneswar, Odisha, India. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0019288,69,0.5657,"AI Research Engineer with 5.7 years at Paytm (10001+); strong FAISS experience plus NLP, TensorFlow; across 3 product-company roles; Noida, Uttar Pradesh-based. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0058688,70,0.5651,"AI Engineer with 6.7 years at Vedantu (1001-5000); strong Embeddings, Milvus, Information Retrieval experience plus QLoRA, TensorFlow; building retrieval systems at product companies; located in Berlin, Germany (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0055905,71,0.5633,"Senior Machine Learning Engineer with 8.1 years at Flipkart (10001+); strong Embeddings, Elasticsearch, Information Retrieval, Python experience plus Hugging Face Transformers, Fine-tuning LLMs; building retrieval systems at product companies; located in London, UK. Key limitation: international location without relocation willingness."
CAND_0092255,72,0.5597,"ML Engineer with 5.2 years at InMobi (1001-5000); strong Learning to Rank, Weaviate experience plus PyTorch; building retrieval systems at product companies; Noida, Uttar Pradesh-based. Key limitation: notice period (60 days)."
CAND_0081852,73,0.5572,"Senior Data Scientist with 5.9 years at Mad Street Den (201-500); strong Weaviate, Milvus experience plus LoRA; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate. Key limitation: notice period (45 days)."
CAND_0046064,74,0.5536,"Senior NLP Engineer with 8.9 years at Salesforce (10001+); strong Elasticsearch, Pinecone, Python experience plus QLoRA, PEFT; building retrieval systems at product companies; located in Coimbatore, Tamil Nadu, India. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0006557,75,0.5500,"NLP Engineer with 7.9 years at Paytm (10001+); strong Qdrant, Elasticsearch, Pinecone, Weaviate experience plus Hugging Face Transformers, LoRA; building retrieval systems at product companies; located in Jaipur, Rajasthan, India (willing to relocate). Key limitation: extended notice period (120 days)."
CAND_0083307,76,0.5500,"Search Engineer with 7.8 years at CRED (1001-5000); strong Learning to Rank, Embeddings, Weaviate, Pinecone experience plus QLoRA, PEFT; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India. Key limitation: extended notice period (120 days)."
CAND_0096172,77,0.5482,"NLP Engineer with 5.2 years at Krutrim (201-500); strong Qdrant, Elasticsearch, Python experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; based in Chennai, Tamil Nadu. Key limitation: notice period (45 days)."
CAND_0046525,78,0.5446,"Senior Machine Learning Engineer with 6.1 years at Genpact AI (10001+); strong Qdrant, Elasticsearch, Information Retrieval experience plus Sentence Transformers, NLP; building retrieval systems at product companies; Pune, Maharashtra-based. Key limitation: notice period (60 days)."
CAND_0030468,79,0.5434,"Senior Applied Scientist with 5.4 years at Swiggy (5001-10000); strong Ranking Systems, Information Retrieval Systems, Milvus experience plus TensorFlow; building retrieval systems at product companies; located in Indore, Madhya Pradesh, India (willing to relocate). Key limitation: notice period (45 days)."
CAND_0048558,80,0.5416,"Data Scientist with 6.7 years at Rephrase.ai (11-50); strong Qdrant, Elasticsearch, Information Retrieval experience; building retrieval systems at product companies; Noida, Uttar Pradesh-based. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0026362,81,0.5368,"Data Scientist with 5.0 years at PhonePe (5001-10000); strong Learning to Rank, Weaviate, Pinecone experience; building retrieval systems at product companies; based in Gurgaon, Haryana. Key limitation: notice period (45 days)."
CAND_0098952,82,0.5368,"AI Research Engineer with 5.5 years at CRED (1001-5000); strong Python experience plus QLoRA, NLP; building retrieval systems at product companies; currently in Gurgaon, Haryana with willingness to relocate. Key limitation: notice period (45 days)."
CAND_0037980,83,0.5301,"Senior Applied Scientist with 9.0 years at Niramai (51-200); strong Information Retrieval Systems experience plus QLoRA, PyTorch; building retrieval systems at product companies; located in Kolkata, West Bengal, India (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0000666,84,0.5283,"Data Scientist with 6.5 years at PhonePe (5001-10000); strong Weaviate experience plus Sentence Transformers, LoRA; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India. Limitations: notice period (60 days), low recruiter engagement (0.29)."
CAND_0089552,85,0.5271,"Machine Learning Engineer with 6.0 years at Netflix (10001+); strong Qdrant, Weaviate, Milvus experience plus TensorFlow, Sentence Transformers; building retrieval systems at product companies; located in Kolkata, West Bengal, India (willing to relocate). Key limitation: extended notice period (120 days)."
CAND_0046353,86,0.5259,"ML Engineer with 6.4 years at Razorpay (1001-5000); strong Qdrant, Weaviate, FAISS experience plus NLP, PyTorch; across 3 product-company roles; based in Gurgaon, Haryana. Key limitation: extended notice period (120 days)."
CAND_0094025,87,0.5253,"Data Scientist with 6.4 years at CRED (1001-5000); strong Qdrant experience plus Hugging Face Transformers, LoRA; across 4 product-company roles; located in Chandigarh, Chandigarh, India. Key limitation: extended notice period (90 days)."
CAND_0087630,88,0.5223,"AI Engineer with 7.2 years at Vedantu (1001-5000); strong Learning to Rank, Embeddings, Elasticsearch experience plus Sentence Transformers, QLoRA; building retrieval systems at product companies; currently in Gurgaon, Haryana with willingness to relocate. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0049896,89,0.5169,"Search Engineer with 7.3 years at Unacademy (5001-10000); strong Information Retrieval experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India (willing to relocate). Key limitation: extended notice period (90 days)."
CAND_0064888,90,0.5163,"ML Engineer with 5.8 years at Verloop.io (51-200); strong Learning to Rank, Embeddings, Elasticsearch experience plus Fine-tuning LLMs, TensorFlow; across 2 product-company roles; located in Vizag, Andhra Pradesh, India (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0032216,91,0.5157,"ML Engineer with 6.1 years at upGrad (1001-5000); strong Learning to Rank, Qdrant, Information Retrieval experience plus Sentence Transformers, Hugging Face Transformers; across 3 product-company roles; currently in Chennai, Tamil Nadu with willingness to relocate. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0037160,92,0.5157,"Data Scientist with 6.0 years at Haptik (201-500); strong Embeddings, Weaviate experience plus Hugging Face Transformers, LLMs; building retrieval systems at product companies; based in Mumbai, Maharashtra. Included primarily on behavioral signals and adjacent skill relevance."
CAND_0043318,93,0.5127,"Data Scientist with 6.2 years at Freshworks (5001-10000); strong Learning to Rank, Weaviate experience plus PEFT; across 2 product-company roles; located in Sydney, Australia (willing to relocate). Key limitation: extended notice period (120 days)."
CAND_0062247,94,0.5114,"AI Engineer with 7.3 years at Google (10001+); strong Learning to Rank, Qdrant, Pinecone, Information Retrieval experience plus Hugging Face Transformers, PEFT; building retrieval systems at product companies; located in Kochi, Kerala, India (willing to relocate). Included primarily on behavioral signals and adjacent skill relevance."
CAND_0010541,95,0.5090,"AI Research Engineer with 6.2 years at Wysa (51-200); strong Qdrant, Weaviate, Pinecone, Python experience plus LoRA, NLP; building retrieval systems at product companies; based in Hyderabad, Telangana. Key limitation: notice period (60 days)."
CAND_0008295,96,0.5042,"AI Research Engineer with 6.5 years at Razorpay (1001-5000); strong Weaviate, Python experience plus Kubernetes, QLoRA; including 4.2 years as AI Research Engineer at Razorpay; Pune, Maharashtra-based. Key limitation: notice period (45 days)."
CAND_0040178,97,0.5042,"ML Engineer with 5.0 years at Meesho (1001-5000); strong Learning to Rank, Weaviate, Python experience plus Fine-tuning LLMs; building retrieval systems at product companies; Pune, Maharashtra-based. Key limitation: notice period (60 days)."
CAND_0041669,98,0.5018,"Recommendation Systems Engineer with 8.0 years at CRED (1001-5000); strong Qdrant, Weaviate, Milvus, Information Retrieval experience plus QLoRA, PEFT; building retrieval systems at product companies; Noida, Uttar Pradesh-based. Key limitation: notice period (60 days)."
CAND_0075574,99,0.5012,"Machine Learning Engineer with 5.7 years at Haptik (201-500); strong Qdrant, Elasticsearch, Weaviate experience plus Hugging Face Transformers, PyTorch; building retrieval systems at product companies; currently in Bangalore, Karnataka with willingness to relocate. Key limitation: notice period (60 days)."
CAND_0013393,100,0.5000,"ML Engineer with 5.3 years at Freshworks (5001-10000); strong Qdrant, Milvus, Pinecone, Embeddings experience plus PyTorch, TensorFlow; building retrieval systems at product companies; based in Bangalore, Karnataka. Key limitation: notice period (60 days)."
